sentence,sentence_id,cue_span,scope_span,target
"To tie these events to gene activation, we measured NF-kappa B and NF-AT activity in the nucleus after anti-CD3 stimulation.",8039243,NaN,NaN,0
"Oct-1 and Oct-2 can bind specifically to a site at base pair -55 in vitro, and this site is specifically protected in B cells in vivo.",8663022,NaN,NaN,0
Transcriptional regulation of T lymphocyte development and function.,10358756,NaN,NaN,0
"Probucol (50 microM) and N-acetylcysteine (20 mM) also inhibited agonist-induced monocytic cell adhesion; whereas, several other antioxidants had no significant effect.",7518838/X703.8.1,"[(146, 148)]","[146, 167]",1
A novel immunosuppressive factor in bovine colostrum blocks activation of the interleukin 2 gene enhancer at the NFAT site.,8960365,NaN,NaN,0
The NF-kappaB family of transcription factors regulates the inducible expression of a variety of genes.,9548485,NaN,NaN,0
Interferon regulatory factor 2 (IRF-2) is a transcriptional regulatory protein that terminates interferon beta expression initiated by interferon regulatory factor 1.,8106512,NaN,NaN,0
Both TCDD and estradiol induce extrathymic T-cell differentiation in the liver.,7826670,NaN,NaN,0
PMA acted synergistically with ionomycin to activate JNK MAPKs in Jurkat and EL4 within 10 minutes.,8950029,NaN,NaN,0
The phosphorylated tyrosine residue itself is important for the protein-protein interaction.,7523507,NaN,NaN,0
A CD28-associated signaling pathway leading to cytokine gene transcription and T cell proliferation without TCR engagement.,9712026/X1179.1.1,"[(100, 107)]","[100, 122]",1
"Overexpression of Bcl-2 in tumor cells blocks apoptosis induced by many stimuli, but inhibition of Fas-mediated killing has not been consistently observed.",8892614/X436.4.1,"[(124, 127)]","[85, 154]",1
"Nevertheless, its properties seem to be most extensively exploited in cells of the immune system.",8011280,NaN,NaN,0
These results show that AM580 is more powerful than ATRA in modulating the expression of differentiation antigens only in cells in which PML-RAR is present.,8608243,NaN,NaN,0
"The SH3 domains of Grb2 form a stable complex with SOS1 and two proteins of 75 kD and 120 kD, which undergo tyrosine phosphorylation in Fc gamma RIIA stimulated cells.",8695800,NaN,NaN,0
Cloning of a human homeobox gene that resembles a diverged Drosophila homeobox gene and is expressed in activated lymphocytes.,1676597,NaN,NaN,0
"Like IkappaBalpha, Tax-mediated breakdown of IkappaBbeta in transfected T lymphocytes is blocked either by cell-permeable proteasome inhibitors or by mutation Of IkappaBbeta at two serine residues present within its N-terminal region.",8628274,NaN,NaN,0
"The overall effect of heat shock on c-myc mRNA level, however, was a marked inhibition of its transcription.",2112575,NaN,NaN,0
RESULTS: Electrophoretic mobility shift assays disclosed two specific complexes bound to a NF-kappa B specific 32P-labelled oligonucleotide in nucleoproteins extracted from purified T cells isolated from synovial fluid and peripheral blood of patients with rheumatoid arthritis.,10070274,NaN,NaN,0
Induction of TF mRNA expression by LPS tended to be partially reduced by the lysophospholipid.,9888865,NaN,NaN,0
Tandem copies of this enhancer functioned synergistically in mature (Jurkat) T-cell lines as well as resting and activated immature (CCRF-CEM) T-cell lines.,2083253,NaN,NaN,0
The other factor bound to a putative AP-1 recognition sequence predicted for the HIV-1 NRE.,1956769,NaN,NaN,0
HIV-1 infection of myeloid cells can lead to the expression of surface receptors associated with cellular activation and/or differentiation that increase the responsiveness of these cells to cytokines secreted by neighboring cells as well as to bacteria or other pathogens.,7565415,NaN,NaN,0
BCL-2-deficient T cells demonstrate accelerated cell cycle progression and increased apoptosis following activation.,8790367,NaN,NaN,0
"Pb-induced activation of NF-kappa B is blocked by antibodies for p65 and p50 subunits but not cRel, indicating that the p65:p50 heterodimer (NF-kappa B) is involved.",8878524/X430.7.2,"[(90, 93)]","[90, 98]",1
"Furthermore, TIMP-1 upregulation induced expression of Bcl-XL but not Bcl-2 as well as decreased NF-kappaB activity as compared with controls.",9835626/X1233.9.1,"[(66, 69)]","[66, 75]",1
These data suggest that the action of tepoxalin to inhibit proliferation in PBMC may be at least in part due to its ability to reduce the amount of available iron resulting in decreased activation of NF kappa B and subsequent inhibition of cytokine production.,8707445,NaN,NaN,0
"Stimulation of mouse B cells with anti-IgM or IgD antibodies, bacterial lipopolysaccharide, phorbol 12-myristate 13-acetate plus ionomycin, or CD40 ligand led to a five-fold to 35-fold decrease in BCL-6 mRNA levels.",8652841,NaN,NaN,0
Protein kinase C (PKC) does not appear to play a role in the alpha-tcp effect since no suppression of phosphorylation of PKC substrates was observed.,7518838/X703.9.1,"[(84, 86)]","[84, 148]",1
CLEO defines a binding site for protein ( s ) whose optimum binding is stimulated by PMA and A23187.,1492121,NaN,NaN,0
"Numerous studies have shown that , upon HIV1 infection, human promonocytic U937 cells were induced to differentiate , as indicated, for example, by increased expression of adhesion molecules.",8446774,NaN,NaN,0
The present study investigated PPARalpha expression in human ECs and their regulation of vascular cell adhesion molecule-1 (VCAM-1).,10377075,NaN,NaN,0
The activation is rapid and is mediated through a tyrosine kinase-dependent pathway.,7525701,NaN,NaN,0
"At low GSSG levels, T cells cannot optimally activate the immunologically important transcription factor NF kappa B, whereas high GSSG levels inhibit the DNA binding activity of NF kappa B.",7958618/X825.3.1,"[(28, 34)]","[28, 115]",1
Analysis of IL-2 and IL-2R alpha expression demonstrated that the perturbation of the proliferation response was not attributable to an abnormal expression of these genes.,10352258/X594.4.1,"[(113, 116)]","[113, 170]",1
We studied glucocorticosteroid receptor density and affinity on peripheral blood mononuclear cells by the glucocorticosteroid binding assay in 33 patients with SLE who had taken no glucocorticosteroid for the previous 6 months and in 32 healthy controls.,1865413/X50.4.1,"[(178, 180)]","[178, 253]",1
"CsA was found not to inhibit lck gene expression, nor the activity of the lck gene product.",1380242/X153.6.1,"[(50, 53)]","[50, 90]",1
"Tyrosine phosphorylation of this protein could also be induced in Balb/c3T3 cells using a supernatant from the B line, which was associated with induction of cell proliferation.",7657825,NaN,NaN,0
"For a better understanding of the Ig heavy chain enhancer components, we have cloned and analyzed individual sequence elements.",2105887,NaN,NaN,0
"In contrast, repeated injections of SEA cause CD4+ T-cell deletion and anergy in the remaining CD4+ T cells, characterized by reduced expression of IL-2 at mRNA and protein levels.",8577772,NaN,NaN,0
"The results demonstrate that the simultaneous activation of PKC and elevation of cAMP leads to an enhanced AP-1 transcriptional activity in a T-leukemia cell line, suggesting that the previously observed interaction between the parallel signal transduction pathways may have functional consequences at the level of gene transcription.",1335418,NaN,NaN,0
Nuclear transcription studies in vitro showed that LTB4 increased the transcription of the c-fos gene 7-fold and the c-jun gene 1.4-fold.,1313226,NaN,NaN,0
This ROS pathway was also characterized by the use of other inhibitors.,9065737,NaN,NaN,0
"However, while IL2 expression requires the contribution of Ca(2+)- and protein kinase C-dependent signals, we report that activation of human IL4 transcription through the Ca(2+)-dependent pathway is diminished by protein kinase C stimulation in Jurkat T cells.",8524816,NaN,NaN,0
"In addition, we investigated the expression of LAZ3/BCL6 by Northern blot analysis on multiple human tissues.",9096701,NaN,NaN,0
"We have biochemically and functionally characterized a new transcription factor, NP-TCII, which is present in nuclei from unstimulated T and B lymphocytes but is not found in nonhematopoietic cells.",1328873/X169.2.1,"[(162, 165)]","[159, 197]",1
"Despite this lower affinity, a trimer of the BAT box sequence was as efficiently transactivated by an Oct-2 expression vector as was a trimer of the octamer sequence in HeLa cells.",7680653,NaN,NaN,0
"They are composed of different structural domains, including distinct domains for DNA and ligand binding.",8816450,NaN,NaN,0
"Proinflammatory neutrophil stimuli also promoted the accumulation of IkappaB-alpha mRNA transcripts, resulting in the reexpression of the IkappaB-alpha protein.",9129050,NaN,NaN,0
"Further studies are required to understand the physiologic role of 1,25(OH)2D3 receptors in myeloid cells and proliferating T lymphocytes.",1705836,NaN,NaN,0
It is most likely that the presence of a silencer contributes to the more stringent activation requirements of naive CD4+ T cells.,8325322,NaN,NaN,0
This is the first documented case of female twins discordant for Fabry disease.,8863162,NaN,NaN,0
"In contrast, U-937 cells induced by RA strongly increased their expression of CD23 mRNA and protein, whereas they completely lacked detectable CD14 cell surface or mRNA expression.",7682243/X239.8.1,"[(125, 131)]","[125, 179]",1
A protein of about 150 kD that bound to this negative regulatory sequence was identified by UV cross-linking.,9052735,NaN,NaN,0
Toremifene exerts multiple and varied effects on the gene expression of human peripheral mononuclear cells.,8562886,NaN,NaN,0
Understanding the cis- and transacting factors that regulate the tissue-specific expression of PECAM-1 should increase our understanding of the mechanisms by which vascular-specific gene expression is achieved.,9028949,NaN,NaN,0
Only those TCC with low IFN-gamma levels in the absence of IL-12 responded to IL-12 by additional enhancement of IFN-gamma production.,8906805,NaN,NaN,0
"One, located at -50, binds members of the CCACC/Sp1 family and the other, located at -20, binds the erythroid factor GATA-1.",8449904,NaN,NaN,0
"Overexpression of full-length SCL protein in the lymphoid cell lines, SupT1 and Raji, did not alter cell phenotype and there was no evidence for autoregulation of SCL transcription.",8289474/X308.6.2,"[(90, 93)]","[90, 114]",1
"In contrast to anti-CD3/IL-2-activated LN cells, adoptive transfer of freshly isolated tumor-draining LN T cells has no therapeutic activity.",9690455/X1173.4.1,"[(117, 119)]","[117, 140]",1
"Although the TNF-alpha level in culture supernatants was below the sensitivity of an ELISA assay system, addition of anti-TNF-alpha antibody in culture medium could partially suppress the heat shock induced HIV-1 production.",8645086,NaN,NaN,0
"In the present study, we further analyzed the effect of ML-9 in comparison with that of 1 alpha, 25-dihydroxyvitamin D3 (VD3) a typical inducer of monocytic differentiation.",8635523,NaN,NaN,0
"The novel astrocyte-derived kappa B-binding activity is retained on an HIV-1 Tat affinity column, while prototypical NF-kappa B from Jurkat T cells is not.",8189531/X870.7.1,"[(151, 154)]","[151, 154]",1
We have also observed a differential expression of the NF-YA subunit in heme-treated and control FLCs and during monocyte-to-macrophage differentiation.,9032265,NaN,NaN,0
Interleukin-6 (IL-6) plays a central role in numerous inflammatory and immune processes.,9154298,NaN,NaN,0
Specific complex formation between the type II bare lymphocyte syndrome-associated transactivators CIITA and RFX5.,9177217,NaN,NaN,0
Percentage of apoptotic cells was determined by in-situ labelling of DNA strand breaks.,9794238,NaN,NaN,0
"A 3-bp mutation at the distal Sp1-binding site not only eliminates Sp1 interaction, but also abolishes most of the VitD3 induction of CD14 expression.",7522257,NaN,NaN,0
Proliferation in response to TG was observed in T cells from only 1 of 5 Hashimoto patients.,1493370,NaN,NaN,0
LysoPC may thus attenuate activation of coagulation during inflammation and atherosclerosis.,9888865,NaN,NaN,0
"N-acetyl-L-cysteine (NAC), a well characterized antioxidant which counteracts the effects of reactive oxygen intermediates (ROI) in living cells, prevented the activation of NF-kappa B by H2O2.",2065663,NaN,NaN,0
"By using mutated promoter-PLAP plasmids, we established that these NF-kappa B sites were necessary for induction of TNF-alpha transcription on stimulation with LPS.",8622636,NaN,NaN,0
These results indicate that alpha-lipoic acid may be effective in AIDS therapeutics.,1482376,NaN,NaN,0
"However, Nef does not affect the DNA-binding activity of other transcription factors implicated in HIV-1 regulation, including SP-1, USF, URS, and NF-AT.",1527859/X161.6.1,"[(18, 21)]","[18, 152]",1
All tumor cell lines from the B-cell lineage and a few from the T-cell lineage express Oct-2.,1620122,NaN,NaN,0
"In contrast, in cells stimulated with phorbol myristate acetate (PMA)/A23187, PGE2 enhanced the production of IL-4 and IL-5, and only partially inhibited the production of other cytokines.",8018594,NaN,NaN,0
"Cotransfection with a transdominant negative mutant of the NF-YA subunit abolishes the transcriptional activation by heme, indicating that NF-Y plays an essential role in this activation.",9032265,NaN,NaN,0
"In addition, mild detergent treatment of cell extracts indicated that a substantial amount of cytoplasmic NF-kappaB is complexed with IkappaB alpha or some other inhibitory factor.",9724034,NaN,NaN,0
An unexpected finding was that the Ig levels decreased during the follow-up period.,1832547,NaN,NaN,0
Other studies have demonstrated that TPA-induced monocytic differentiation and expression of the c-jun and c-fos genes in myeloid leukemia cells are regulated by protein kinase C (PKC).,1939341,NaN,NaN,0
Suppression of c-jun by antisense oligonucleotides inhibits cell adhesion but not respiratory burst during phorbol ester-induced differentiation of U937 human monoblastic cells.,8853896/X417.1.1,"[(78, 81)]","[78, 99]",1
"CD14 Sp1 site oligonucleotides bound preferentially to a 105-kDa Sp1 species, which is present in higher relative levels in monocytic than non-monocytic cells, suggesting that modification of Sp1, such as phosphorylation, may explain how the Sp1 site mediates monocytic specific promoter activity.",7512565,NaN,NaN,0
The Tat-mediated increase in IL-2 promoter activity could selectively be blocked by antisense tat or-unlike the analogous effect of human T-cell lymphotropic virus type 1 Tax-by cyclosporin A.,8207793,NaN,NaN,0
"We examined whether NF(P), a nuclear factor specific for the P sequence, is related to NF-kappa B and NF-AT.",8135784,NaN,NaN,0
In a 3 day intervention study in which 600 mg of the antioxidant thioctic acid (alpha-lipoic acid) per day were given to nine patients with diabetic nephropathy oxidative stress in plasma samples was decreased by 48% and NF-kappaB binding activity in ex vivo isolated peripheral blood mononuclear cells by 38%.,10064103,NaN,NaN,0
Experiments have been conducted to identify second messengers involved in this PGE2-dependent up-regulating effect on the regulatory element of HIV-1.,9765256,NaN,NaN,0
Abnormal regulation of the IL-2 promoter in lpr CD4-CD8- T lymphocytes results in constitutive expression of a novel nuclear factor of activated T cells-binding factor.,7759875,NaN,NaN,0
Acute hepatic injury caused by reactive oxygen intermediate production was induced by an intraperitoneal injection of CCl4 in mice.,7590666,NaN,NaN,0
"Protein tyrosine kinase activity, NF-kappaB activity, and the synthesis of cytokine-specific mRNA were inhibited by antioxidants.",10425262,NaN,NaN,0
"Further, by electrophoretic mobility shift assay, NF-kappa B was activated in monocytes from tuberculous patients.",9379002,NaN,NaN,0
"Northern blot analyses indicated a highly restricted mRNA expression pattern, with the strongest expression occurring in promyelocyte and late-myeloblast-like cell lines.",9032264,NaN,NaN,0
"To our knowledge, this constitutes the first indication that NF-kappaB activation may underlie the action of proinflammatory stimuli towards human neutrophil gene expression and, as such, adds a new facet to our understanding of neutrophil biology.",9129050,NaN,NaN,0
"These stimuli also induced the stress-activated kinase pathway (SAPK/JNK), which was required for the maximal induction of apoptosis.",9660938,NaN,NaN,0
"Thus, the protective role of BHRF1 against apoptosis resembles that of Bcl-2 in being cell type specific and dependent on the apoptotic stimulus.",9311830,NaN,NaN,0
The phosphorylation of CREB that results in activation is mediated by protein kinase C rather than by protein kinase A.,8816467/X410.14.1,"[(87, 98)]","[87, 118]",1
"Immunoprecipitation of epitope-labeled BKO demonstrated for the formation of a tight complex with endogenous B subunit in Jurkat cells, consistent with an inhibitory mechanism that involves the sequestration of the B subunit.",8561779,NaN,NaN,0
"In U937 and Jurkat T lymphoid cells, the inducibility of the different hybrid promoters by TNF-alpha or phorbol ester varied in a cell type- and promoter context-specific manner; the levels of gene activity of NF-kappa B-containing plasmids correlated directly with induction of NF-kappa B DNA-binding activity.",2204723,NaN,NaN,0
The molecular mechanism underlying IL-2 transcriptional blockade in anergic T cell clones is not fully understood.,8805630/X400.2.1,"[(93, 96)]","[0, 113]",1
"These results indicate that, as already reported for the IL2Rbeta promoter, GA-binding protein is an essential component of gammac basal promoter activity.",8663060,NaN,NaN,0
"In addition, in vitro differentiation of monocytes to a macrophage-like cell resulted in decreased amounts of REF-1.",10364260,NaN,NaN,0
Both mobility shift and sequence specificity of NF-AT were similar to those of NF(P) and only a small amount of P65 was detected in NF(P) in crude nuclear extracts.,8135784,NaN,NaN,0
We report the effect of E3330 on transcriptional activation of tumor necrosis factor (TNF)-alpha gene and on nuclear factor (NF)-kappa B activation.,8622636,NaN,NaN,0
"Proliferation and immunologic function of T lymphocytes are initiated by signals from the antigen receptor that are inhibited by the immunosuppressant FK506 but not by its structural analog, rapamycin.",2123553/X668.2.1,"[(161, 164)]","[161, 200]",1
Our data showed that TNF resistance in vitro correlates with the increased level of transcription factor NF-kappaB.,10232385,NaN,NaN,0
the effect was reversed by the receptor antagonist RU-38486.,8675584,NaN,NaN,0
Neuronal (type I) nitric oxide synthase regulates nuclear factor kappaB activity and immunologic (type II) nitric oxide synthase expression.,9122255,NaN,NaN,0
"Electrophoretic mobility shift (EMS) analyses utilizing oligonucleotides homologous to each of the 21 bp repeat elements reacted with nuclear extracts derived from cell lines of lymphocytic, monocytic, neuronal, and glial cell origin have demonstrated differential binding of cellular factors to the three 21 bp repeats (1-4).",9209284,NaN,NaN,0
"An inhibitory, ""dominant-negative,"" form of the calcineurin catalytic (A) subunit was prepared, which lacks the calmodulin-binding domain, autoinhibitory domain and most of its catalytic core but possesses the regulatory (B) subunit binding domain.",8561779/X882.2.1,"[(102, 107)]","[102, 191]",1
A new approach to facilitate immobilization and affinity purification of recombinant proteins and selected human B lymphocytes has been developed.,8471167,NaN,NaN,0
"Electrophoretic mobility shift assays showed that IL-4, but not IL-10, inhibited nuclear NF-kappaB activity, and that IL-4 and IL-10 did not affect NF-IL-6 activity.",8786324/X344.6.1,"[(137, 140)]","[137, 164]",1
"We initiated this study to determine 1 ) the prevalence of one or more breast tissue abnormalities in a group of women at high risk for breast cancer, and 2 ) if the prevalence of biomarker abnormalities is greater in high risk than in low risk women.",7981444,NaN,NaN,0
Retinoid differentiation therapy in promyelocytic leukemia.,8801163,NaN,NaN,0
"Forty-eight hours after transfection, EC were stimulated with NK cells or NK cell membrane extracts for 7 hr and activation was measured by a luciferase assay.",9825820,NaN,NaN,0
Genes encoding general initiation factors for RNA polymerase II transcription are dispersed in the human genome.,8162052,NaN,NaN,0
"Our results suggest that while transfection analyses offer an adequate approximation of the effects of the LS mutations, the analysis of viral replication using a mutant viral stock presents a more accurate picture, which is sometimes at variance with the transfection results.",8437235,NaN,NaN,0
Monitoring DPD activity may be important in the management of patients experiencing severe toxicity secondary to FUra chemotherapy.,1648430,NaN,NaN,0
"Thus, competition between two general transcriptional activators, RelA and NF-ATp, mediates the inhibitory effect of protein kinase C stimulation on IL4 expression and may contribute to differential gene expression in TH cells.",8524816,NaN,NaN,0
Regulation of interleukin-1 beta production by glucocorticoids in human monocytes: the mechanism of action depends on the activation signal.,1953785,NaN,NaN,0
"These studies indicate that iNO attenuates iNOS expression in macrophages and inhibits monocyte adhesion to endothelial cells, and suggest that endogenously derived iNO may be an important autoregulatory inhibitor of vascular inflammation.",9712068,NaN,NaN,0
"Surprisingly, multimers of kappa 1-kappa 3 can confer PMA inducibility on a heterologous promoter in a B (Raji), but not a T (HUT78) cell line.",2056282/X39.7.1,"[(117, 120)]","[117, 142]",1
Our finding that induction of NF-kappa B by tumor necrosis factor or antibody to CD3 is not sufficient to induce HIV enhancer-dependent transcription in cloned T cells contrasts with results obtained in most lymphoblastoid T-cell lines and indicates that normal T lymphocytes differ from tumoral T cells in terms of requirements for HIV LTR activation.,2146676/X671.7.2,"[(88, 91)]","[88, 167]",1
The prevalent complex is the heterodimer p50-p65.,9971788,NaN,NaN,0
This was followed by a gradual decline to the basal level by 24 h.,7640302,NaN,NaN,0
The resultant primer products are analysed by denaturing polyacrylamide gel electrophoresis and autoradiography.,1734865,NaN,NaN,0
"DCs express high levels of all known NF-kappa B and Rel proteins, with activity residing primarily within RelB, p50, and p65.",7479915,NaN,NaN,0
"Finally, CD40 ligation induced growth inhibition and apoptosis in MM.",10096561,NaN,NaN,0
This study indicates that activation of PKA reduces the induction of a distinct set of genes in monocytes and endothelial cells by inhibiting NF-kappaB-mediated transcription.,8702838,NaN,NaN,0
"Potent gene regulatory and antiproliferative activities of 20-methyl analogues of 1,25 dihydroxyvitamin D3.",8913871,NaN,NaN,0
"Interestingly, the DEX-mediated IkappaBalpha induction was completely inhibited by IL-2, but not IL-4, in Th1 cells, while the reverse profile was seen in Th2 cells.",9488049/X1157.5.1,"[(93, 96)]","[93, 101]",1
Positive and negative regulation of immunoglobulin gene expression by a novel B-cell-specific enhancer element.,1986254,NaN,NaN,0
"Cortivazol significantly induced GR mRNA in the normal CEM-C7 as well as in two classes of dex-resistant clones, although the dex-resistant clones needed at least 10 times more cortivazol than the normal cells for significant GR mRNA induction.",2039752,NaN,NaN,0
The Epstein-Barr virus (EBV) transforming protein LMP1 appears to be a constitutively activated tumor necrosis factor receptor (TNFR) on the basis of an intrinsic ability to aggregate in the plasma membrane and an association of its cytoplasmic carboxyl terminus (CT) with TNFR-associated factors (TRAFs).,8943365,NaN,NaN,0
DNase I footprinting of the upstream delta-globin region revealed protected sequences corresponding to consensus binding sites for GATA-1 and BP2.,10087993,NaN,NaN,0
Fourteen percent of isolated fragments belong to already known genes that certainly are cytokines and transduction/transcription factors.,9828130,NaN,NaN,0
The regulatory mechanisms of the human and murine TNF genes are discussed.,1909740,NaN,NaN,0
"In contrast to the MF individuals where no effect was seen, transendothelial migration of 48-hr filarial antigen stimulated T-cells from LP individuals was significantly (P = 0.01) greater than migration of 48-hr media-stimulated T-cells.",9073544/X986.4.1,"[(40, 42)]","[40, 58]",1
"All cell lines examined in this group also expressed 1,25(OH)2D3 receptors.",1705836,NaN,NaN,0
We previously characterized Drosophila and human TAF subunits that make up the core TFIID complex found in all cells.,8858156,NaN,NaN,0
Regulation of Id3 cell cycle function by Cdk-2-dependent phosphorylation.,9372912,NaN,NaN,0
Selection against such mutations may be the result of functional redundancy of these myogenic transcription factors.,8282820,NaN,NaN,0
"The transcription factor E2F activates the expression of multiple genes involved in cell proliferation, such as c-myc and the dihydrofolate reductase gene.",8321204,NaN,NaN,0
The isoleucine for valine substitution at amino acid 729 impairs the function of the hGR and is the likely cause of primary cortisol resistance in this subject.,7683692,NaN,NaN,0
"Our results suggest that SP1 phosphorylation induced by OKA, a selective inhibitor of the serine-threonine phosphatase PP2A, facilitates the formation of a transcription complex involving general transcription factors, HIV Tat, and Sp1 proteins.",7747447,NaN,NaN,0
"The binding activity of transcription factor AP-1, which consists of dimers of Fos and Jun family proteins, was also studied using a gel shift assay.",8641353,NaN,NaN,0
"These results suggest that phosphorylated pRB is constitutively expressed in MM cells and that IL-6 further shifts pRB from its dephosphorylated to its phosphorylated form, thereby promoting MM cell growth via two mechanisms; by decreasing the amount of E2F bound by dephosphorylated pRB due to reduced dephosphorylated pRB, thereby releasing growth arrest; and by upregulating IL-6 secretion by MM cells and related IL-6-mediated autocrine tumor cell growth.",8822942,NaN,NaN,0
"Endothelial cells (EC) act as APC for resting PBL in vitro, and may have important roles in vivo in the pathogenesis of allograft rejection and delayed hypersensitivity.",8468462,NaN,NaN,0
"Stimulation of B lymphocytes by either ligation of CD40 Ag or cross-linking the Ig receptor is also insufficient to render B lymphocytes responsive to 1 alpha,25(OH)2D3.",8816395,NaN,NaN,0
"Two explanations for hyporesponsiveness of the human iNOS promoter to LPS ± IFN-gamma were found: (1) multiple inactivating nucleotide substitutions in the human counterpart of the enhancer element that has been shown to regulate LPS/IFN-gamma induced expression of the mouse iNOS gene; and (2) and absence of one or more nuclear factors in human macrophages (e.g., an LPS-inducible nuclear factor-kappa B/Rel complex), that is (are) required for maximal expression of the gene.",8613707/X894.4.1,"[(299, 306)]","[299, 418]",1
This activity seems to be due to increased cAMP levels because forskolin and IBMX mimic the effects of PGE2.,8929459,NaN,NaN,0
"However, NF-kappa B activation was insufficient for CD40-mediated up-regulation of B7-1, Fas, and CD23.",9366415,NaN,NaN,0
"The CpG dinucleotide in this element is selectively methylated in Th2 T cells and other cells that do not express IFN-gamma, and methylation markedly reduces transcription factor binding.",8943243/X473.8.1,"[(102, 105)]","[102, 123]",1
PtdIns 3-kinase signals cannot mimic p21ras and induce the Rac mediated responses of AP-1 transcriptional activation.,9796702/X1213.10.1,"[(24, 30)]","[24, 116]",1
"To approach this, we generated a luciferase reporter construct containing elements of the CD95 ligand promoter.",9144472,NaN,NaN,0
The mechanism of HS2 enhancer function is not known.,1454801/X185.3.1,"[(42, 45)]","[42, 51]",1
Rel-deficient T cells exhibit defects in production of interleukin 3 and granulocyte-macrophage colony-stimulating factor.,8622948,NaN,NaN,0
Female family members were also studied to identify heterozygote carriers.,8325950,NaN,NaN,0
A thymus-specific member of the HMG protein family regulates the human T cell receptor C alpha enhancer.,2010090,NaN,NaN,0
Bcd mRNA transcripts of < or = 2.6 kb were selectively expressed in PBL and testis of healthy individuals.,9000136,NaN,NaN,0
"PBL constitutively express c-jun transcripts, and the level of c-jun mRNA is not altered by PHA activation in the absence or presence of EC.",8468462/X237.8.1,"[(77, 80)]","[50, 139]",1
Biochemical analysis of the region -158/-90 revealed a binding site for transcription factors of the polyomavirus enhancer-binding protein 2/core-binding factor (PEBP2/CBF) family at position -103.,8631821,NaN,NaN,0
"We have previously shown that nuclear extracts from activated T cells form two inducible NF-AT complexes with an oligonucleotide corresponding to the distal NF-AT site of the murine IL-2 promoter, although hypotonic extracts of unstimulated T cells form a single complex containing NF-ATp.",8335913,NaN,NaN,0
These data demonstrate that Stat3 but not Stat1 or Stat5 is directly recruited to the ligand-activated IL-10 receptor by binding to specific but redundant receptor intracellular domain sequences containing phosphotyrosine.,8910398/X450.9.1,"[(38, 41)]","[38, 56]",1
This interaction is functional as it leads to retargeting of NF-kappa B p50 from the nucleus to the cytoplasm.,1493333,NaN,NaN,0
Dimethyldithiocarbamate inhibits in vitro activation of primary human CD4+ T lymphocytes.,9710149,NaN,NaN,0
This indicated that the dUTPase is expressed during EBV replication and reactivation.,8922474,NaN,NaN,0
"These results add a different perspective to the molecular interactions through which LMP1, TRADD, and RIP participate in B-lymphocyte activation and growth.",10409763,NaN,NaN,0
This phenomenon is correlated with inhibition of GATA1 induction in the early stages of erythropoietic differentiation.,8298127,NaN,NaN,0
"The proportion of mature, TCRhigh thymocytes of the alphabeta lineage was reduced, and the remaining TCRhigh population contained an unusually high proportion of double-positive cells.",9164919,NaN,NaN,0
"The synergistic antigen receptor initiated signals are mediated through protein kinase C because they can be mimicked by the phorbol ester, 12-O-tetradecanoylphorbol-13-acetate, but not with calcium ionophores; and are staurosporine sensitive but cyclosporine resistant.",7718519/X766.4.1,"[(182, 185)]","[182, 209]",1
"Moreover, we further investigated the physiologic relevance of these observations.",10235509,NaN,NaN,0
We demonstrate that mRNAs for all three of these regulatory factors are expressed in fetal blood cells by the 27th week of gestation and in term cord bloods.,9428992,NaN,NaN,0
"For example, the analysis of only 1 signaling molecule may allow patients with significant defects in T-cell signaling to go unnoticed.",9724088,NaN,NaN,0
"Finally, we show that a DNA fragment containing the human GATA3 transcription unit, 3 kb upstream from the initiation site and 4 kb downstream from the polyadenylation site, displays T-cell specificity.",8088776,NaN,NaN,0
"The OCT-1-binding genotype, found in approximately 5% of Africans, is associated with fourfold increased susceptibility to cerebral malaria in large case-control studies of West African and East African populations, after correction for other known TNF polymorphisms and linked HLA alleles.",10369255,NaN,NaN,0
"The prevalence of DNA aneuploidy was 30 %, overexpression of ER 10 %, and overexpression of EGFR 35 %, in the 206 high risk women whose median 10 year Gail risk (projected probability) of developing breast cancer was 4.5 %.",7981444,NaN,NaN,0
These results indicate that LPS induction of kappaB-dependent gene expression in human monocytic cells requires activation of IKK2.,9804806,NaN,NaN,0
"In addition to its well-recognized adhesive role, CD15 may function as an important signaling molecule capable of initiating proinflammatory events in monocytes that come into contact with activated endothelium.",8978306,NaN,NaN,0
OBJECTIVES: To analyze the effect of retinoic acids (RA) on HIV-1 expression and correlate this effect with expression levels of RA receptors (RARs) in T-lymphoid and monocytoid cell lines.,7888116,NaN,NaN,0
"Lipopolysaccharide (LPS) is a potent stimulator of monocytes and macrophages, causing secretion of tumor necrosis factor alpha (TNF-alpha) and other inflammatory mediators.",10200294,NaN,NaN,0
"Mutagenesis indicates that the 21 bp repeats can be subdivided into three motifs, A, B and C, each of which influences the level of tax activation.",1628621,NaN,NaN,0
These data suggest that selenium supplementation may be used to modulate the expression of NF-kappa B target genes and HIV-1.,8852698,NaN,NaN,0
"Moreover, the effect of cell adhesion to fibronectin or laminin was studied to investigate mechanisms involved in STAT1 activation.",10383940,NaN,NaN,0
"We compared the effects of the deactivating cytokine interleukin 10 (IL-10) on human peripheral blood mononuclear cell (PBMC) responses to lipopolysaccharide (LPS), Cryptococcus neoformans, and Candida albicans.",8641805,NaN,NaN,0
